date,benchmark,XLY,XLE,XLK,XLF,XLI,XLP
2026-05-20,0.005,0.006,0.004,0.007,0.005,0.003,0.002
2026-05-21,0.002,0.001,-0.002,0.003,0.002,0.000,0.001
2026-05-22,0.004,0.005,0.006,0.004,0.002,0.003,0.001
2026-05-23,0.003,0.004,0.005,0.002,0.003,0.001,0.000
2026-05-24,-0.001,-0.002,-0.003,0.000,-0.001,-0.002,-0.001
2026-05-25,0.006,0.007,0.008,0.009,0.006,0.005,0.004
2026-05-26,0.002,0.001,0.003,0.004,0.002,0.003,0.000
2026-05-27,0.003,0.004,0.005,0.003,0.003,0.002,0.001
2026-05-28,0.000,-0.001,0.000,0.001,-0.002,-0.001,0.000
2026-05-29,0.005,0.006,0.007,0.008,0.005,0.004,0.003
